# fieldwork-template v1
trial,Example Demosite Trial
objective,Show every part of the template format in one working example.
design,observational
replicates,0
site,Gatton,Queensland,Alluvial loam
site,Tolga,North Queensland,Red ferrosol
practice,Current practice,control,What the grower does now.
practice,New practice,alternative,The change being tested.
form,event_type,audience,frequency,requires_site,requires_arm,label,field_name,type,required,unit,min,max,options,response,help
Run record,run_record,grower,Each run,yes,yes,Tonnes handled,tonnesHandled,number,yes,t,0,,,,Core throughput measure
Run record,run_record,grower,Each run,yes,yes,How well did it work?,,slider,no,,1,5,,,Quick operator rating
Run record,run_record,grower,Each run,yes,yes,Main issue seen,,select,no,,,,issue A | issue B | none,,Structured instead of free text
Run record,run_record,grower,Each run,yes,yes,Did the run go as planned?,,boolean,yes,,,,,,Flags runs to follow up
Run record,run_record,grower,Each run,yes,yes,Photo of the result (optional),,photo,no,,,,,,Visual evidence
Run record,run_record,grower,Each run,yes,yes,Anything else worth noting?,notes,text,no,,,,,,Catch-all; keep it last
Daily weather,weather,staff,Daily during the trial,yes,no,Temperature,,number,yes,°C,,,,,Confounding factor
Daily weather,weather,staff,Daily during the trial,yes,no,Rainfall last 7 days,,number,no,mm,0,,,,Confounding factor
Cost log,cost_log,staff,Once per trial,no,no,Lease or subscription cost,,number,yes,$,0,,,,Feeds the economics
Cost log,cost_log,staff,Once per trial,no,no,What is included in these figures?,,text,no,,,,,,Context for the numbers
